OBJECTID,CF,CASE_NUM,SOURCE,ADOPTDATE,COMMENTS,CPA_1,CPA_2,BICYCLE_N,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
9067,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,195.256499011361
9068,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,65.8269052992247
9069,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,125.253113015796
9070,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,108.455811065877
9071,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,90.5428057556575
9072,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,109.608817303549
9073,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,129.186012756411
9074,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,62.113201084602
9075,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,123.667321135495
9076,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,243.548334640062
9077,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,163.70613271986
9078,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,109.625510033533
9079,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,108.497911066435
9080,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,1,,,,,46.2223058230768
9081,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,134.173046754344
9082,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,190.794985293374
9083,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,93.7322896554149
9084,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,NLA,,1,,,,,443.296222178766
9085,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,Updated as per Lena,NLA,,1,,,,,132.397639447163
9086,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,WCH,,2,,,,,9.06691708187322
9087,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,WIL,,2,,,,,9.3932265536287
9088,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,SLA,,2,,,,,10.8247789690429
9089,15-0719,CPC-2013-910-GPA-SP-CA-MSC-M2, ,2016/09/09 00:00:00+00,,WIL,,2,,,,,1.60316333496595
9090,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,124.420856285706
9091,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,228.375068891511
